DayType,Hour,Minute,Decrease,Increase,No Change
Workday,18,0,33.20610687022901,53.81679389312977,12.977099236641221
Workday,18,15,7.633587786259542,78.2442748091603,14.122137404580155
Workday,18,30,46.56488549618321,38.16793893129771,15.267175572519085
Workday,18,45,12.213740458015266,72.51908396946564,15.267175572519085
Workday,19,0,27.86259541984733,56.48854961832062,15.648854961832063
Workday,19,15,13.358778625954198,70.22900763358778,16.412213740458014
Workday,19,30,43.89312977099237,39.69465648854962,16.412213740458014
Workday,19,45,27.86259541984733,55.72519083969466,16.412213740458014
Workday,20,0,30.916030534351147,52.29007633587786,16.793893129770993
Workday,20,15,38.54961832061068,45.038167938931295,16.412213740458014
Workday,20,30,24.80916030534351,59.16030534351145,16.030534351145036
Workday,20,45,62.213740458015266,24.045801526717558,13.740458015267176
Workday,21,0,37.786259541984734,50.38167938931297,11.83206106870229
Workday,21,15,79.00763358778626,8.778625954198473,12.213740458015266
Workday,21,30,29.389312977099237,59.16030534351145,11.450381679389313
Workday,21,45,88.16793893129771,1.1450381679389312,10.687022900763358
Workday,22,0,75.57251908396947,14.885496183206106,9.541984732824428
Workday,22,15,92.74809160305344,0.38167938931297707,6.870229007633588
Workday,22,30,36.6412213740458,53.81679389312977,9.541984732824428
Workday,22,45,88.54961832061069,1.5267175572519083,9.923664122137405
Workday,23,0,87.40458015267176,2.6717557251908395,9.923664122137405
Workday,23,15,90.07633587786259,0.7633587786259541,9.16030534351145
Workday,23,30,10.687022900763358,79.38931297709924,9.923664122137405
Workday,23,45,90.07633587786259,0.0,9.923664122137405
Weekend,0,0,90.38461538461539,0.9615384615384616,8.653846153846153
Weekend,0,15,90.38461538461539,0.0,9.615384615384617
Weekend,0,30,18.269230769230766,69.23076923076923,12.5
Weekend,0,45,83.65384615384616,3.8461538461538463,12.5
Weekend,1,0,73.07692307692307,12.5,14.423076923076922
Weekend,1,15,77.88461538461539,4.807692307692308,17.307692307692307
Weekend,1,30,33.65384615384615,48.07692307692308,18.269230769230766
Weekend,1,45,75.96153846153845,5.769230769230769,18.269230769230766
Weekend,2,0,71.15384615384616,8.653846153846153,20.192307692307693
Weekend,2,15,73.07692307692307,5.769230769230769,21.153846153846153
Weekend,2,30,26.923076923076923,51.92307692307693,21.153846153846153
Weekend,2,45,74.03846153846155,3.8461538461538463,22.115384615384613
Weekend,3,0,73.07692307692307,3.8461538461538463,23.076923076923077
Weekend,3,15,74.03846153846155,2.8846153846153846,23.076923076923077
Weekend,3,30,19.230769230769234,57.692307692307686,23.076923076923077
Weekend,3,45,61.53846153846154,15.384615384615385,23.076923076923077
Weekend,4,0,60.57692307692307,16.346153846153847,23.076923076923077
Weekend,4,15,66.34615384615384,11.538461538461538,22.115384615384613
Weekend,4,30,50.0,30.76923076923077,19.230769230769234
Weekend,4,45,36.53846153846153,46.15384615384615,17.307692307692307
Weekend,5,0,49.03846153846153,33.65384615384615,17.307692307692307
Weekend,5,15,39.42307692307692,43.269230769230774,17.307692307692307
Weekend,5,30,51.92307692307693,33.65384615384615,14.423076923076922
Weekend,5,45,21.153846153846153,66.34615384615384,12.5
Weekend,6,0,33.65384615384615,54.807692307692314,11.538461538461538
Weekend,6,15,20.192307692307693,68.26923076923077,11.538461538461538
Weekend,6,30,61.53846153846154,25.0,13.461538461538462
Weekend,6,45,19.230769230769234,67.3076923076923,13.461538461538462
Weekend,7,0,23.076923076923077,63.46153846153846,13.461538461538462
Weekend,7,15,21.153846153846153,67.3076923076923,11.538461538461538
Weekend,7,30,57.692307692307686,30.76923076923077,11.538461538461538
Weekend,7,45,42.30769230769231,48.07692307692308,9.615384615384617
Weekend,8,0,15.384615384615385,75.0,9.615384615384617
Weekend,8,15,50.96153846153846,38.46153846153847,10.576923076923077
Weekend,8,30,60.57692307692307,28.846153846153843,10.576923076923077
Weekend,8,45,63.46153846153846,28.846153846153843,7.6923076923076925
Weekend,9,0,23.076923076923077,69.23076923076923,7.6923076923076925
Weekend,9,15,63.46153846153846,29.807692307692307,6.730769230769231
Weekend,9,30,56.730769230769226,40.38461538461539,2.8846153846153846
Weekend,9,45,82.6923076923077,14.423076923076922,2.8846153846153846
Weekend,10,0,41.34615384615385,53.84615384615385,4.807692307692308
Weekend,10,15,81.73076923076923,13.461538461538462,4.807692307692308
Weekend,10,30,41.34615384615385,52.88461538461539,5.769230769230769
Weekend,10,45,90.38461538461539,3.8461538461538463,5.769230769230769
Weekend,11,0,50.96153846153846,41.34615384615385,7.6923076923076925
Weekend,11,15,83.65384615384616,7.6923076923076925,8.653846153846153
Weekend,11,30,47.11538461538461,43.269230769230774,9.615384615384617
Weekend,11,45,83.65384615384616,6.730769230769231,9.615384615384617
Weekend,12,0,61.53846153846154,26.923076923076923,11.538461538461538
Weekend,12,15,77.88461538461539,10.576923076923077,11.538461538461538
Weekend,12,30,30.76923076923077,59.61538461538461,9.615384615384617
Weekend,12,45,75.0,15.384615384615385,9.615384615384617
Weekend,13,0,55.769230769230774,34.61538461538461,9.615384615384617
Weekend,13,15,72.11538461538461,19.230769230769234,8.653846153846153
Weekend,13,30,36.53846153846153,56.730769230769226,6.730769230769231
Weekend,13,45,70.1923076923077,24.03846153846154,5.769230769230769
Weekend,14,0,68.26923076923077,26.923076923076923,4.807692307692308
Weekend,14,15,58.65384615384615,37.5,3.8461538461538463
Weekend,14,30,43.269230769230774,52.88461538461539,3.8461538461538463
Weekend,14,45,24.03846153846154,72.11538461538461,3.8461538461538463
Weekend,15,0,56.730769230769226,37.5,5.769230769230769
Weekend,15,15,16.346153846153847,75.96153846153845,7.6923076923076925
Weekend,15,30,36.53846153846153,52.88461538461539,10.576923076923077
Weekend,15,45,2.8846153846153846,85.57692307692307,11.538461538461538
Weekend,16,0,50.0,36.53846153846153,13.461538461538462
Weekend,16,15,11.538461538461538,73.07692307692307,15.384615384615385
Weekend,16,30,33.65384615384615,49.03846153846153,17.307692307692307
Weekend,16,45,4.807692307692308,76.92307692307693,18.269230769230766
Weekend,17,0,42.30769230769231,38.46153846153847,19.230769230769234
Weekend,17,15,6.730769230769231,71.15384615384616,22.115384615384613
Weekend,17,30,35.57692307692308,41.34615384615385,23.076923076923077
Weekend,17,45,3.8461538461538463,74.03846153846155,22.115384615384613
Weekend,18,0,27.884615384615387,47.11538461538461,25.0
Weekend,18,15,1.9230769230769231,72.11538461538461,25.961538461538463
Weekend,18,30,36.53846153846153,36.53846153846153,26.923076923076923
Weekend,18,45,6.730769230769231,66.34615384615384,26.923076923076923
Weekend,19,0,21.153846153846153,49.03846153846153,29.807692307692307
Weekend,19,15,13.461538461538462,57.692307692307686,28.846153846153843
Weekend,19,30,32.69230769230769,39.42307692307692,27.884615384615387
Weekend,19,45,25.0,49.03846153846153,25.961538461538463
Weekend,20,0,31.73076923076923,44.230769230769226,24.03846153846154
Weekend,20,15,30.76923076923077,46.15384615384615,23.076923076923077
Weekend,20,30,24.03846153846154,53.84615384615385,22.115384615384613
Weekend,20,45,61.53846153846154,19.230769230769234,19.230769230769234
Weekend,21,0,47.11538461538461,34.61538461538461,18.269230769230766
Weekend,21,15,75.0,11.538461538461538,13.461538461538462
Weekend,21,30,19.230769230769234,68.26923076923077,12.5
Weekend,21,45,80.76923076923077,6.730769230769231,12.5
Weekend,22,0,75.0,13.461538461538462,11.538461538461538
Weekend,22,15,86.53846153846155,1.9230769230769231,11.538461538461538
Weekend,22,30,21.153846153846153,66.34615384615384,12.5
Weekend,22,45,88.46153846153845,0.0,11.538461538461538
Weekend,23,0,85.57692307692307,1.9230769230769231,12.5
Weekend,23,15,89.42307692307693,0.9615384615384616,9.615384615384617
Weekend,23,30,15.384615384615385,73.07692307692307,11.538461538461538
Weekend,23,45,86.53846153846155,0.9615384615384616,12.5
